size,tile,median_time_ns,mean_time_ns,ci_95_ns,min_time_ns,max_time_ns,gflops
16,8,263086.0,259516.33333333334,9585.74720678889,199132.0,297615.0,3.1138106930813497e-11
32,16,290688.0,299588.4,21390.998405099916,250614.0,565839.0,2.2545134302069574e-10
64,32,412198.5,401676.43333333335,15368.167684729822,347726.0,512320.0,1.2719308779629232e-09
128,64,982149.5,962075.4333333333,19849.305391066286,849175.0,1048271.0,4.27053518838018e-09
256,128,3294581.0,3297003.7333333334,87682.88356962411,3073588.0,4176173.0,1.0184734265146311e-08
512,256,17212967.0,17738732.533333335,373327.91329265904,17026678.0,20567419.0,1.5594955593652157e-08
1024,512,106497455.5,106542951.46666667,740195.1631723385,103603471.0,112560360.0,2.0164647483056533e-08
2048,512,369798501.0,371243879.73333335,1881289.140317352,366138859.0,389690578.0,4.645737918769984e-08
4096,1024,2366317560.0,2354478385.1666665,8487114.920692177,2310910646.0,2378851590.0,5.808136481563362e-08
