size,tile,median_time_ns,mean_time_ns,ci_95_s,min_time_ns,max_time_ns,gflops
16,8,56056.0,56407.666666666664,5156.378978279666,52037.0,61130.0,1.4613957471100328e-10
32,16,78612.0,77753.66666666667,2443.6697330949705,75297.0,79352.0,8.336640716430061e-10
64,16,288224.0,288421.6666666667,962.8810175948245,287687.0,289354.0,1.8190296436105252e-09
128,16,1280841.0,1282088.0,2721.1099606839366,1280563.0,1284860.0,3.274648453633199e-09
256,16,9760390.0,9760235.666666666,3408.926740531558,9757149.0,9763168.0,3.4378167265857203e-09
512,16,77029314.0,76686287.33333333,679422.114635971,75993012.0,77036536.0,3.484848067061846e-09
1024,16,621434191.0,621705964.6666666,798649.3849276892,621176487.0,622507216.0,3.4556895631125646e-09
2048,16,5805145472.0,5810168277.0,9859785.806126947,5805130080.0,5820229279.0,2.9594209597095862e-09
4096,16,51754037662.0,51710817361.333336,129298053.37947887,51581251241.0,51797163181.0,2.6556179900319833e-09
