size,tile,median_time_s,mean_time_s,ci_95_s,min_time_s,max_time_s,gflops
16,8,262195.5,260269.6,9436.092321279395,208464.0,317613.0,3.12438619274549e-11
32,16,290593.0,287162.9,7543.946829347942,240298.0,332946.0,2.2552504705894498e-10
64,32,372955.0,373466.3333333333,10676.127650888782,309446.0,423965.0,1.405767451837353e-09
128,64,799206.5,794222.4333333333,45576.88313937813,318890.0,918856.0,5.248085444750512e-09
256,128,2897984.0,2883900.8666666667,149743.93139861998,829633.0,3339440.0,1.1578542876703253e-08
512,256,14990099.5,15461024.433333334,323453.6742247275,14819895.0,17905093.0,1.7907516624556096e-08
1024,512,90642213.0,91171293.6,485905.26262839197,89724431.0,95713233.0,2.3691871335930425e-08
2048,512,336788366.5,337659438.3333333,1828252.3576936363,330975642.0,353838670.0,5.1010874759535376e-08
4096,1024,2580831325.0,2582557828.6,5901200.171294808,2558634907.0,2660940395.0,5.3253752827879986e-08
