size,tile,median_time_ns,mean_time_ns,ci_95_s,min_time_ns,max_time_ns,gflops
16,8,53056.0,54055.7,1066.2519399559665,49093.0,58926.0,1.5440289505428226e-10
32,16,76537.5,77057.06666666667,869.6140998358513,72870.0,83500.0,8.562600032663727e-10
64,16,278102.5,279290.56666666665,1059.9726418897317,274408.0,284446.0,1.8852329626666426e-09
128,16,1179569.5,1179835.4333333333,1142.9193656732828,1175060.0,1188153.0,3.5557921767221008e-09
256,16,9253879.0,9263617.1,15002.509395612742,9246351.0,9481834.0,3.6259856002007373e-09
512,16,74724893.5,74673332.46666667,51111.269815262334,74489328.0,75019627.0,3.5923163410062273e-09
1024,16,576561226.0,583715989.7666667,4031848.7534931446,570537136.0,597541001.0,3.7246411155647156e-09
2048,16,4637153463.5,4635947812.4,8530484.50891449,4600046203.0,4677724946.0,3.7048308448763504e-09
4096,16,40427862833.5,40218005242.3,168475968.9053602,39520419915.0,40639257651.0,3.3996096711328776e-09
